02/11/2018,at Oklahoma City,7:00
02/14/2018,Oklahoma City,8:00
02/23/2018,Cleveland,8:00
02/24/2018,at Miami,7:30
02/26/2018,at Boston,7:30
02/28/2018,Phoenix,8:00
03/02/2018,Denver,8:00
03/03/2018,at Orlando,7:00
03/05/2018,at San Antonio,8:30
03/07/2018,at Chicago,8:00
03/09/2018,Utah,8:00
03/10/2018,at Dallas,8:30
03/12/2018,Milwaukee,8:00
03/15/2018,Chicago,8:00
03/17/2018,Denver,8:00
03/19/2018,at Brooklyn,7:30
03/21/2018,at Philadelphia,7:00
03/22/2018,at Charlotte,7:00
03/24/2018,Los Angeles,8:00
03/26/2018,at Minnesota,8:00
03/28/2018,Portland,8:00
03/30/2018,at Utah,9:00
04/01/2018,at Portland,9:00
04/04/2018,at New Orleans,9:30
04/06/2018,Sacramento,8:00
04/08/2018,Detroit,3:30
04/09/2018,at Minnesota,8:00
04/11/2018,at Oklahoma City,8:00
