02/08/2018,at Ottawa,7:30
02/10/2018,at Montreal,7:00
02/13/2018,St. Louis,8:00
02/15/2018,Calgary,8:00
02/17/2018,Detroit,8:00
02/19/2018,Ottawa,8:00
02/20/2018,at Detroit,7:30
02/22/2018,San Jose,8:00
02/25/2018,St. Louis,12:00
02/27/2018,at Winnipeg,8:00
03/01/2018,at Edmonton,9:00
03/02/2018,at Vancouver,10:00
03/04/2018,at Colorado,3:00
03/06/2018,Dallas,8:00
03/08/2018,Anaheim,8:00
03/10/2018,New Jersey,8:00
03/13/2018,Winnipeg,8:00
03/15/2018,at Arizona,10:00
03/16/2018,at Colorado,9:00
03/19/2018,at Buffalo,7:00
03/22/2018,Toronto,8:00
03/24/2018,at Minnesota,8:00
03/25/2018,at Winnipeg,7:00
03/27/2018,Minnesota,8:00
03/29/2018,San Jose,8:00
03/31/2018,Buffalo,8:00
04/01/2018,at Tampa Bay,6:00
04/03/2018,at Florida,7:30
04/05/2018,at Washington,7:00
04/07/2018,Columbus,8:00
